feature,importance
loc_ic_mou_8,0.04577243360131477
loc_og_mou_8,0.04337320890492938
total_ic_mou_8,0.03844385121776301
loc_ic_t2m_mou_8,0.03780466229728802
loc_og_t2m_mou_8,0.03480962617358075
loc_ic_t2t_mou_8,0.03121310782432935
arpu_8,0.03007608580225083
roam_og_mou_8,0.029769109275002367
total_og_mou_8,0.029657760867100803
loc_og_t2t_mou_8,0.02680560552203069
roam_ic_mou_8,0.026400046438473965
total_rech_amt_8,0.025918956481353884
last_day_rch_amt_8,0.02564528690696892
offnet_mou_8,0.021053195740650472
og_mou_decline,0.017398207002709637
rech_amt_decline,0.01569185757443478
std_ic_mou_8,0.014429227430114726
loc_ic_t2f_mou_8,0.013196937050532008
ic_mou_decline,0.012569451613703313
max_rech_amt_8,0.011678426578888377
onnet_mou_8,0.011431282584237383
loc_og_t2f_mou_8,0.010630847688244915
std_ic_t2m_mou_8,0.010446523908007663
av_rech_amt_data_8,0.008971382715457735
total_rech_num_8,0.008683028928710307
arpu_7,0.008208615644952922
aon,0.008005720851393134
std_og_mou_8,0.00790751728953236
std_og_t2m_mou_8,0.00785282258399211
total_rech_amt_7,0.007237492521652726
total_ic_mou_7,0.006765757037687749
total_og_mou_7,0.006579230723275769
mobile_number,0.006493171336088561
std_og_mou_7,0.006450867736581229
loc_ic_mou_7,0.006450076737624746
offnet_mou_7,0.00642534536930846
loc_og_t2m_mou_7,0.006186433399945
loc_og_t2m_mou_6,0.006166609614778407
arpu_6,0.006150190272570683
spl_og_mou_8,0.0060229279649214205
loc_ic_t2m_mou_7,0.006003786044202447
total_rech_amt_6,0.005926770824240082
loc_og_mou_7,0.0058825522134549205
avg_rech_6_7,0.005750341577490583
onnet_mou_7,0.0057178152621271735
loc_og_mou_6,0.005616106964724868
loc_ic_t2t_mou_6,0.00552889069979462
total_ic_mou_6,0.005460142654769941
total_rech_num_7,0.00539819622114918
offnet_mou_6,0.005385216717816569
loc_og_t2t_mou_7,0.005322099999536106
loc_ic_t2m_mou_6,0.005237386731336023
loc_og_t2t_mou_6,0.00523722620441046
loc_ic_mou_6,0.005235873063982619
total_og_mou_6,0.005124453059972456
loc_ic_t2t_mou_7,0.005119360508869322
onnet_mou_6,0.005054845087953156
total_rech_num_6,0.004966838542382762
vol_2g_mb_8,0.0048968682853403195
max_rech_data_8,0.004886114693774587
std_og_mou_6,0.004817687398758598
std_og_t2t_mou_8,0.004810999579842727
std_og_t2m_mou_7,0.004756919920448996
std_ic_t2t_mou_8,0.004654483110217982
std_ic_mou_7,0.004588727070236156
std_og_t2t_mou_7,0.004455587909412691
